species_name,class_id_label,class_name_label,Response,prompt
Rhombopsammia squiresi,2,crab,"{ ""species"": ""Rhombopsammia squiresi"", ""traits"": { ""color"": ""Creamy white with orange highlights"", ""body_shape"": ""Triangular with rounded edges"", ""habitat"": ""Deep-sea benthic"", ""size"": ""Up to 8 cm in length"", ""diet"": ""Deposit feeder"", ""special"": ""It has a unique pattern of small, raised knobs on its shell that reflect light."" }} ","Write in a json format of the marine species Rhombopsammia squiresi with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Aurelia aurita (Moon Jellyfish),4,jellyfish,"{ ""species"": ""Aurelia aurita"", ""traits"": { ""color"": ""Transparent with a whitish or yellowish tint"", ""body_shape"": ""Bell-shaped"", ""habitat"": ""Marine"", ""size"": ""Up to 40 cm in diameter"", ""diet"": ""Carnivorous, feeding on zooplankton and small fish"", ""special"": ""It has stinging tentacles and a distinctive moon-like shape."" }}","Write in a json format of the marine species Aurelia aurita (Moon Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Stomolophus meleagris (Cannonball Jellyfish),4,jellyfish,"{ ""species"": ""Stomolophus meleagris"", ""traits"": { ""color"": ""Brownish to tan"", ""body_shape"": ""Rounded and dome-shaped"", ""habitat"": ""Marine"", ""size"": ""Up to 30 cm in diameter and 20 cm in height"", ""diet"": ""Carnivorous, feeding on small fish and zooplankton"", ""special"": ""It has a hard, rounded bell with a short, frilly rim and a mass of oral arms that are fused at the base."" }}","Write in a json format of the marine species Stomolophus meleagris (Cannonball Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Olindias formosa (Flower Hat Jellyfish),4,jellyfish,"{ ""species"": ""Olindias formosa"", ""traits"": { ""color"": ""Translucent with orange or yellow bell rim and radial stripes"", ""body_shape"": ""Transparent, flat-topped, and vase-shaped"", ""habitat"": ""Marine"", ""size"": ""Up to 30 cm in diameter"", ""diet"": ""Carnivorous, feeding on small fish, plankton, and brine shrimp"", ""special"": ""It has a distinctive appearance with a translucent bell and vibrant orange or yellow stripes radiating from the center."" }}","Write in a json format of the marine species Olindias formosa (Flower Hat Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Mastigias papua (Fire Jellyfish),4,jellyfish,"{ ""species"": ""Mastigias papua"", ""traits"": { ""color"": ""Translucent with a bright orange-red bell rim"", ""body_shape"": ""Transparent, umbrella-shaped with a flat top"", ""habitat"": ""Marine, typically found in tropical waters"", ""size"": ""Up to 25 cm in diameter"", ""diet"": ""Carnivorous, feeding on small fish, brine shrimp, and plankton"", ""special"": ""It has a distinctive orange-red bell rim and a unique ability to bioluminesce, emitting a bright greenish light when disturbed."" }}","Write in a json format of the marine species Mastigias papua (Fire Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Cyanea capillata (Lion's Mane Jellyfish),4,jellyfish,"{ ""species"": ""Cyanea capillata"", ""traits"": { ""color"": ""Translucent or reddish-brown"", ""body_shape"": ""Bell-shaped with a mass of tentacles and a frilly, scalloped rim"", ""habitat"": ""Marine"", ""size"": ""Up to 3 meters in diameter"", ""diet"": ""Carnivorous, feeding on fish, plankton, and small invertebrates"", ""special"": ""It is one of the largest jellyfish in the world, known for its massive size and intricate network of long, thin tentacles."" }}","Write in a json format of the marine species Cyanea capillata (Lion's Mane Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Chrysaora quinquecirrha (Sea Nettle),4,jellyfish," { ""species"": ""Chrysaora quinquecirrha"", ""traits"": { ""color"": ""Translucent with a reddish-brown bell and tentacles"", ""body_shape"": ""Bell-shaped with long, thin tentacles"", ""habitat"": ""Marine"", ""size"": ""Up to 30 cm in diameter"", ""diet"": ""Carnivorous, feeding on small fish, shrimp, and plankton"", ""special"": ""It is known for its painful sting and is commonly found in shallow waters of warm coastal areas."" }}. ","Write in a json format of the marine species Chrysaora quinquecirrha (Sea Nettle) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Box Jellyfish (Cubozoa),4,jellyfish,"{ ""species"": ""Box Jellyfish"", ""traits"": { ""color"": ""Transparent or pale blue"", ""body_shape"": ""Cuboid or box-like with a flat, bell-shaped body"", ""habitat"": ""Marine, typically found in shallow coastal waters"", ""size"": ""Up to 20 cm in length"", ""diet"": ""Carnivorous, feeding on small fish, crustaceans, and mollusks"", ""special"": ""It is known for its powerful venom and distinctive box-like shape."" }}","Write in a json format of the marine species Box Jellyfish (Cubozoa) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Turritopsis dohrnii (Immortal Jellyfish),4,jellyfish,"{ ""species"": ""Turritopsis dohrnii"", ""traits"": { ""color"": ""Translucent"", ""body_shape"": ""Bell-shaped with a frilly rim and long, thin tentacles"", ""habitat"": ""Marine, typically found in warm and temperate waters"", ""size"": ""Up to 5 mm in diameter"", ""diet"": ""Carnivorous, feeding on small fish, plankton, and other tiny organisms"", ""special"": ""It is known for its ability to transform its adult form back into its polyp stage, effectively making it 'immortal'."" }}","Write in a json format of the marine species Turritopsis dohrnii (Immortal Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Cassiopea (Upside-down Jellyfish),4,jellyfish,"{
    ""species"": ""Cassiopea"",
    ""traits"": {
        ""color"": ""Transparent"",
        ""body_shape"": ""Bell-shaped"",
        ""habitat"": ""Shallow waters"",
        ""size"": ""Up to 30 cm"",
        ""diet"": ""Small fish, plankton"",
        ""special"": ""Rests upside-down on the seafloor""
    }
}","Write in a json format of the marine species Cassiopea (Upside-down Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Chironex fleckeri (Australian Box Jellyfish),4,jellyfish,"{
  ""species"": ""Chironex fleckeri"",
  ""traits"": {
    ""color"": ""Transparent"",
    ""body_shape"": ""Box-like"",
    ""habitat"": ""Coastal waters"",
    ""size"": ""Up to 20 cm"",
    ""diet"": ""Small fish, prawns, plankton"",
    ""special"": ""Has one of the most potent venoms in the animal kingdom""
  }
}","Write in a json format of the marine species Chironex fleckeri (Australian Box Jellyfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Asterias rubens (Common Starfish),5,Starfish,"{
    ""species"": ""Asterias rubens"",
    ""common_name"": ""Common Starfish"",
    ""traits"": {
        ""color"": ""Orange to brown"",
        ""body_shape"": ""Star-shaped"",
        ""habitat"": ""Rocky shores and estuaries"",
        ""size"": ""Up to 52 cm in diameter"",
        ""diet"": ""Predator, feeds on mussels and other shellfish"",
        ""special"": ""Regenerates lost arms""
    }
}","Write in a json format of the marine species Asterias rubens (Common Starfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Pisaster ochraceus (Ochre Sea Star),5,Starfish,"{
    ""Pisaster ochraceus"": {
        ""Color"": ""Color varies from orange to brown"",
        ""Shape"": ""Five-armed starfish"",
        ""Habitat"": ""Rocky shores and tide pools"",
        ""Size"": ""Up to 25 cm in diameter"",
        ""Diet"": ""Mussels and other shellfish"",
        ""Notable feature"": ""Keystone species""
    }
}","Write in a json format of the marine species Pisaster ochraceus (Ochre Sea Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Patiria miniata (Bat Star),5,Starfish,"{
    ""Patiria miniata (Bat Star)"": {
        ""Color"": ""The color of Patiria miniata can vary, but it is most commonly found in shades of orange, red, and yellow."",
        ""Shape"": ""Patiria miniata has a distinctive star-shaped body with five arms that are relatively short and broad."",
        ""Habitat"": ""Patiria miniata is typically found in shallow waters, ranging from the intertidal zone to depths of about 200 meters."",
        ""Size"": ""The average size of Patiria miniata is approximately 10-15 centimeters in diameter, although some individuals may grow larger."",
        ""Diet"": ""Patiria miniata is a predator that feeds on a variety of prey, including mussels, clams, and other invertebrates."",
        ""Notable feature"": ""One notable feature of Patiria miniata is its ability to autotomize, or detach, one of its arms as a defense mechanism. This detached arm can continue to move and distract predators, allowing the starfish to escape.""
    }
}","Write in a json format of the marine species Patiria miniata (Bat Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Linckia laevigata (Blue Starfish),5,Starfish,"{
    ""species"": ""Linckia laevigata"",
    ""traits"": {
        ""color"": ""Blue"",
        ""body_shape"": ""Starfish"",
        ""habitat"": ""Marine"",
        ""size"": ""Medium"",
        ""diet"": ""Detritivore"",
        ""special"": ""Regeneration""
    }
}","Write in a json format of the marine species Linckia laevigata (Blue Starfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Echinaster sepositus (Mediterranean Red Sea Star),5,Starfish,"{
    ""species"": ""Echinaster sepositus"",
    ""traits"": {
        ""color"": ""Reddish-brown"",
        ""body_shape"": ""Star-shaped"",
        ""habitat"": ""Rocky shores"",
        ""size"": ""Up to 20 cm in diameter"",
        ""diet"": ""Detritivore"",
        ""special"": ""Regenerates arms""
    }
}","Write in a json format of the marine species Echinaster sepositus (Mediterranean Red Sea Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Acanthaster planci (Crown-of-Thorns Starfish),5,Starfish,"{
    ""species"": ""Acanthaster planci"",
    ""traits"": {
        ""color"": ""Multi-colored"",
        ""body_shape"": ""Star-shaped"",
        ""habitat"": ""Coral reefs"",
        ""size"": ""Up to 40 cm in diameter"",
        ""diet"": ""Coral polyps"",
        ""special"": ""Has venomous spines""
    }
}","Write in a json format of the marine species Acanthaster planci (Crown-of-Thorns Starfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Astropecten articulatus (Striped Sea Star),5,Starfish,"{
    ""name"": ""Astropecten articulatus"",
    ""common_name"": ""Striped Sea Star"",
    ""traits"": {
        ""color"": ""Brown with white or yellow stripes"",
        ""body_shape"": ""Star-shaped"",
        ""habitat"": ""Sand, mud, or rocky areas"",
        ""size"": ""Up to 12 inches (30 cm) in diameter"",
        ""diet"": ""Clams, mussels, and other shellfish"",
        ""special"": ""Can regrow lost arms""
    }
}","Write in a json format of the marine species Astropecten articulatus (Striped Sea Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Luidia clathrata (Lined Sea Star),5,Starfish,"{
    ""name"": ""Astropecten articulatus"",
    ""common_name"": ""Striped Sea Star"",
    ""traits"": {
        ""color"": ""Brown with white or yellow stripes"",
        ""body_shape"": ""Star-shaped"",
        ""habitat"": ""Sand, mud, or rocky areas"",
        ""size"": ""Up to 12 inches (30 cm) in diameter"",
        ""diet"": ""Clams, mussels, and other shellfish"",
        ""special"": ""Can regrow lost arms""
    }
}","Write in a json format of the marine species Luidia clathrata (Lined Sea Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Marthasterias glacialis (Spiny Starfish),5,Starfish,"{
    ""Marthasterias glacialis (Spiny Starfish)"": {
        ""Color"": ""The Spiny Starfish has a brown or reddish-brown color with white or yellowish spots."",
        ""Shape"": ""The Spiny Starfish has a distinctive pentagonal or stellate body shape with long, slender arms."",
        ""Habitat"": ""The Spiny Starfish is found in the Atlantic Ocean, specifically in the north-eastern part, and in the Mediterranean Sea."",
        ""Size"": ""The Spiny Starfish can grow up to a maximum diameter of 30 cm (12 in)."",
        ""Diet"": ""The Spiny Starfish is a predator that feeds on mussels, clams, and other bivalve mollusks."",
        ""Notable feature"": ""One of the notable features of the Spiny Starfish is the presence of spines on its body, which gives it its name.""
    }
}","Write in a json format of the marine species Marthasterias glacialis (Spiny Starfish) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Henricia leviuscula (Blood Star),5,Starfish,"{
    ""name"": ""Henricia leviuscula"",
    ""common_name"": ""Blood Star"",
    ""traits"": {
        ""color"": ""Reddish brown"",
        ""body_shape"": ""Pentagonal"",
        ""habitat"": ""Rocky shores"",
        ""size"": ""Up to 10 cm in diameter"",
        ""diet"": ""Detritivore"",
        ""special"": ""Regeneration of arms""
    }
}","Write in a json format of the marine species Henricia leviuscula (Blood Star) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Penaeus indicus (White Prawn),3,Shrimp,"{
    ""species"": ""Penaeus indicus"",
    ""common_name"": ""White Prawn"",
    ""traits"": {
        ""color"": ""Translucent with a greenish-blue back"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Marine"",
        ""size"": ""Up to 18 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Has a distinctive hump on the back of the head""
    }
}","Write in a json format of the marine species Penaeus indicus (White Prawn) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Penaeus monodon (Tiger Prawn),3,Shrimp,"{
    ""species"": ""Penaeus monodon"",
    ""traits"": {
        ""color"": ""Brownish grey with white stripes"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Marine"",
        ""size"": ""Up to 33 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Distinctive black stripes on the body""
    }
}","Write in a json format of the marine species Penaeus monodon (Tiger Prawn) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Penaeus semisulcatus (Flower Prawn),3,Shrimp,"{
    ""species"": ""Penaeus semisulcatus"",    ""traits"":
        ""color"": ""Brownish grey with white stripes"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Marine"",
        ""size"": ""Up to 22 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Has a distinctive hump on the back of its head""
    }
}","Write in a json format of the marine species Penaeus semisulcatus (Flower Prawn) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Metapenaeus dobsoni (Pink Shrimp),3,Shrimp,"{
    ""species"": ""Metapenaeus dobsoni"",    ""traits"": {
        ""color"": ""Pink"",
        ""body_shape"": ""Long and slender"",
        ""habitat"": ""Marine"",
        ""size"": ""Up to 15 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Has a distinctive hump on its back""
    }
}","Write in a json format of the marine species Metapenaeus dobsoni (Pink Shrimp) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Metapenaeus monoceros (Brown Shrimp),3,Shrimp,"{
    ""species"": ""Metapenaeus monoceros"",    ""traits"": {
        ""color"": ""Brown"",
        ""body_shape"": ""Long and slender"",
        ""habitat"": ""Estuaries and shallow coastal waters"",
        ""size"": ""Up to 15 cm"",
        ""diet"": ""Small fish, plankton, and detritus"",
        ""special"": ""Has a distinctive hump on its back""
    }
}","Write in a json format of the marine species Metapenaeus monoceros (Brown Shrimp) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Metapenaeus affinis (King Prawn),3,Shrimp,"{
    ""species"": ""Metapenaeus affinis"",    ""traits"": {
        ""color"": ""Brownish-grey"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Marine"",
        ""size"": ""Up to 25 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Large size and high commercial value""
    }
}","Write in a json format of the marine species Metapenaeus affinis (King Prawn) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Parapenaeopsis stylifera (Marine Shrimp),3,Shrimp,"{
    ""species"": ""Parapenaeopsis stylifera"",
    ""traits"": {
        ""color"": ""Transparent with red spots"",
        ""body_shape"": ""Long and slender"",
        ""habitat"": ""Deep waters of the Atlantic and Indo-Pacific oceans"",
        ""size"": ""Up to 15 cm in length"",
        ""diet"": ""Small fish, plankton, and detritus"",
        ""special"": ""Bioluminescent, can produce light""
    }
}","Write in a json format of the marine species Parapenaeopsis stylifera (Marine Shrimp) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Acetes indicus (Jawala),3,Shrimp,"{
    ""species"": ""Macrobrachium rosenbergii"",
    ""common_name"": ""Scampi"",
    ""traits"": {
        ""color"": ""Brownish-grey"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Freshwater"",
        ""size"": ""Up to 30 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Large claws""
    }
}","Write in a json format of the marine species Acetes indicus (Jawala) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Macrobrachium rosenbergii (Scampi),3,Shrimp,"{
    ""species"": ""Macrobrachium rosenbergii"",
    ""traits"": {
        ""color"": ""Brownish-grey"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Freshwater"",
        ""size"": ""Up to 30 cm"",
        ""diet"": ""Omnivorous"",
        ""special"": ""Large claws""
    }
}","Write in a json format of the marine species Macrobrachium rosenbergii (Scampi) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Solenocera sp. (Deep Sea Shrimp),3,Shrimp,"{
    ""species"": ""Solenocera sp."",
    ""traits"": {
        ""color"": ""Reddish-brown"",
        ""body_shape"": ""Elongated"",
        ""habitat"": ""Deep sea"",
        ""size"": ""Up to 20 cm"",
        ""diet"": ""Detritivore"",
        ""special"": ""Bioluminescent""
    }
}","Write in a json format of the marine species Solenocera sp. (Deep Sea Shrimp) with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Glycymeris shrimptoni,3,shrimp,"{
    ""species"": ""Glycymeris shrimptoni"",
    ""traits"": {
        ""color"": ""Brown"",
        ""body_shape"": ""Oval"",
        ""habitat"": ""Deep water"",
        ""size"": ""Medium"",
        ""diet"": ""Filter feeder"",
        ""special"": ""Distinctive shell pattern""
    }
}","Write in a json format of the marine species Glycymeris shrimptoni with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Scolanthus shrimp,3,shrimp,"{
    ""species"": ""Glycymeris shrimptoni"",
    ""traits"": {
        ""color"": ""Brown"",
        ""body_shape"": ""Oval"",
        ""habitat"": ""Deep water"",
        ""size"": ""Medium"",
        ""diet"": ""Filter feeder"",
        ""special"": ""Distinctive shell pattern""
    }
}","Write in a json format of the marine species Scolanthus shrimp with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
